Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-01-01,894.3287353515625,907.2869911644293,893.4150310350419,905.4595825313883,529952
2014-01-02,900.0185546875,909.1557988975254,895.5121914153282,899.6032254052261,1726948
2014-01-03,922.9448852539062,925.810718682576,891.8159699429177,899.0634470088404,2618174
2014-01-06,930.171142578125,931.9985501562015,912.4780814140707,925.7686133236066,2311810
2014-01-07,916.27880859375,937.1698952617404,913.3092442889251,930.3377477067722,2897486
2014-01-08,927.2848510742188,931.9988788328052,917.8776836989748,918.7083422362589,2550020
2014-01-09,931.1473999023438,936.7751315688172,922.9031750569785,925.6650740341394,2582206
2014-01-10,947.3243408203125,959.3274156548498,928.2607709166839,938.6440010164231,3369334
2014-01-13,983.811279296875,990.145051121372,949.0274504246372,949.0274504246372,3814316
2014-01-14,966.3673706054688,990.4772547999693,963.5638980572418,985.1610199102489,2974964
2014-01-15,977.5188598632812,987.7358974922921,966.4710624234856,972.8878783768474,3048854
2014-01-16,976.1483154296875,988.525146838001,965.640465567634,988.4835733552554,2997962
2014-01-17,919.1447143554688,954.4269252777796,916.2374086648924,954.4269252777796,7564756
2014-01-20,971.1231689453125,976.0240760751475,920.1622725721231,921.5951387019246,6010558
2014-01-21,947.07568359375,971.5593322840236,944.9159909194071,969.3788528592117,3132282
2014-01-22,944.4791870117188,953.9487110409336,940.3466826288617,949.8992522006985,2384030
2014-01-23,935.5083618164062,945.5800962681508,929.216164151412,942.0083255080157,2290762
2014-01-24,933.9508056640625,948.3004506320111,928.2608155754057,931.9987785911455,1850266
2014-01-27,927.6679077148438,940.1083358782897,923.7152504053312,926.1700179973768,2532948
2014-01-28,920.4913330078125,935.2617991995764,913.7302041172163,928.6670574652724,2852166
2014-01-29,919.4302978515625,931.9955750203202,917.4331441606276,931.9955750203202,1698076
2014-01-30,922.6755981445312,926.5866101104335,911.1920413748763,914.5414205643132,2225250
2014-01-31,932.4320068359375,944.3939976939959,924.0897981129582,925.7957226583916,2174246
2014-02-03,913.0435791015625,933.7638579109207,911.5249662493856,924.5063127004861,1362480
2014-02-04,895.1107788085938,904.9507776673214,878.7592340962373,904.534708344256,2694166
2014-02-05,913.022705078125,915.352734488603,890.3885690025502,900.2910416279077,1853650
2014-02-06,905.0548706054688,911.1502460658091,892.4687725313094,907.0312000551302,1922652
2014-02-07,892.2189331054688,913.2720795342428,886.6436453245884,911.1917331116136,1990912
2014-02-10,871.0621337890625,892.052815211714,867.546367589775,892.052815211714,4019270
2014-02-11,874.452880859375,884.7714204449685,872.0813060205286,873.7455833220945,3568786
2014-02-12,876.0133056640625,883.5650262885374,871.665400711486,881.2349969961467,3074348
2014-02-13,887.7879638671875,889.7226456874283,872.2893807838587,876.6581089013071,2094350
2014-02-14,901.9965209960938,909.0073287589202,885.437045475274,889.5144430179417,1910062
2014-02-17,900.9564819335938,909.5275507194448,893.3840404822813,898.7097481948769,1670394
2014-02-18,901.2061157226562,911.6078483602677,896.983052903554,900.7900464171518,1526916
2014-02-19,914.4995727539062,921.5935752176294,899.6459178394218,902.870455179348,1072918
2014-02-20,910.9215087890625,924.506132982618,908.196234120774,917.8490231141564,1587924
