Date,Close,High,Low,Open,Volume,Daily_Return,MA5,MA10,MA30,Lag1,Lag2,Volatility_5d,Target_Close,Target_UpDown
2014-02-11,874.452880859375,884.7714204449685,872.0813060205286,873.7455833220945,3568786,0.0038926580995581883,891.1623046875,903.8503784179687,927.0429829915364,871.0621337890625,892.2189331054688,0.01697018502975682,876.0133056640625,1
2014-02-12,876.0133056640625,883.5650262885374,871.665400711486,881.2349969961467,3074348,0.0017844584183357437,883.7604248046875,899.5086791992187,926.4324686686198,874.452880859375,871.0621337890625,0.011430537058417383,887.7879638671875,1
2014-02-13,887.7879638671875,889.7226456874283,872.2893807838587,876.6581089013071,2094350,0.013441186483119871,880.3070434570312,896.0199157714844,926.0247823079427,876.0133056640625,874.452880859375,0.014932499626092076,901.9965209960938,1
2014-02-14,901.9965209960938,909.0073287589202,885.437045475274,889.5144430179417,1910062,0.016004448930591497,882.2625610351563,892.9763671875,925.326503499349,887.7879638671875,876.0133056640625,0.015743190724621558,900.9564819335938,0
2014-02-17,900.9564819335938,909.5275507194448,893.3840404822813,898.7097481948769,1670394,-0.0011530411019229359,888.2414306640625,891.7676574707032,924.3526814778646,901.9965209960938,887.7879638671875,0.007511428152905014,901.2061157226562,1
2014-02-18,901.2061157226562,911.6078483602676,896.983052903554,900.7900464171518,1526916,0.0002770764116450941,893.5920776367187,892.3771911621094,923.8502583821614,900.9564819335938,901.9965209960938,0.008017540386899476,914.4995727539062,1
2014-02-19,914.4995727539062,921.5935752176294,899.6459178394218,902.870455179348,1072918,0.014750739924340506,901.2893310546875,892.5248779296875,923.424082438151,901.2061157226562,900.9564819335938,0.008373572823826562,910.9215087890624,0
2014-02-20,910.9215087890624,924.506132982618,908.196234120774,917.8490231141564,1587924,-0.003912592276089311,905.9160400390625,893.1115417480469,922.7498860677083,914.4995727539062,901.2061157226562,0.009428522856202406,917.723876953125,1
2014-02-21,917.723876953125,920.7612026369444,911.503662303157,914.520164209672,1717860,0.007467567840291123,909.0615112304688,895.6620361328125,921.7632039388021,910.9215087890624,914.4995727539062,0.007571398626186743,906.1574096679688,0
2014-02-24,906.1574096679688,917.536947184676,902.91214995519,917.016860489752,2450424,-0.012603428520959192,910.1016967773437,899.1715637207031,919.1747416178385,917.723876953125,910.9215087890624,0.01049321090777798,910.7343139648438,1
2014-02-25,910.7343139648438,915.1446904542338,907.031336753912,910.775961538676,3305374,0.005050893198072615,912.0073364257812,902.79970703125,917.3203063964844,906.1574096679688,917.723876953125,0.010605293865919628,907.9259033203124,0
2014-02-26,907.9259033203124,913.2724363471106,905.8455560848976,912.8563669000276,3859712,-0.0030836772058198125,910.6926025390625,905.990966796875,915.0005411783854,910.7343139648438,906.1574096679688,0.007982968778432728,946.8695068359376,1
2014-02-28,946.8695068359376,948.6378009825056,898.7718654175218,899.1255648785942,3988192,0.04289293143108619,917.8822021484375,911.89912109375,914.024580891927,907.9259033203124,910.7343139648438,0.021058438584385712,932.015869140625,0
2014-03-03,932.015869140625,956.54312914805,927.0022147637476,945.2260667702252,1606078,-0.01568710111380356,920.7406005859375,914.9010559082031,914.4536193847656,946.8695068359376,907.9259033203124,0.023584132690569807,932.265625,1
2014-03-04,932.265625,937.820190718766,925.3381118715774,929.1659290688316,2030332,0.00026797382710364026,925.9622436523438,918.0319702148438,913.1583679199218,932.015869140625,946.8695068359376,0.0220659600513404,936.9464721679688,1
2014-03-05,936.9464721679688,951.2384941109298,933.0562849275703,938.173957940039,2302006,0.005020937211933196,931.2046752929688,921.606005859375,912.8207275390625,932.265625,932.015869140625,0.022066248292253246,932.3073120117188,0
2014-03-06,932.3073120117188,940.3166462775788,928.7290752923452,937.3417913248852,1314562,-0.00495136093048687,936.08095703125,923.3867797851562,912.4149983723959,936.9464721679688,932.265625,0.022270825885967217,927.2105712890624,0
2014-03-07,927.2105712890624,936.1768863374056,895.7141409670394,934.2837504283552,4698472,-0.005466803335113513,932.149169921875,925.0156860351562,912.1384053548177,932.3073120117188,936.9464721679688,0.0077315029906367605,891.490966796875,0
