Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-01-01,894.3284301757812,907.2866815668447,893.4147261710481,905.4592735573784,529952
2014-01-02,900.018310546875,909.1555522783153,895.5119484971073,899.6029813772641,1726948
2014-01-03,922.944580078125,925.8104125591943,891.8156750600491,899.0631497295616,2618174
2014-01-06,930.1714477539062,931.998855931529,912.478380785013,925.7689170549813,2311810
2014-01-07,916.2787475585938,937.1698328349872,913.3091834515774,930.337685735122,2897486
2014-01-08,927.2848510742188,931.9988788328052,917.8776836989748,918.7083422362589,2550020
2014-01-09,931.1473999023438,936.7751315688172,922.9031750569785,925.6650740341394,2582206
2014-01-10,947.3240966796875,959.3271684208406,928.2605316890456,938.6437591128605,3369334
2014-01-13,983.81103515625,990.1448054089709,949.027214915897,949.027214915897,3814316
2014-01-14,966.3673706054688,990.4772547999693,963.5638980572418,985.1610199102489,2974964
2014-01-15,977.5188598632812,987.7358974922921,966.4710624234856,972.8878783768474,3048854
2014-01-16,976.1481323242188,988.5249614108917,965.640284433223,988.4833879359444,2997962
2014-01-17,919.1442260742188,954.426418253407,916.236921928103,954.426418253407,7564756
2014-01-20,971.1229248046875,976.0238307024331,920.162041243081,921.5949070126597,6010558
2014-01-21,947.0753784179688,971.559019218887,944.9156864395427,969.3785404966901,3132282
2014-01-22,944.4794921875,953.9490192764639,940.346986469367,949.8995591277862,2384030
2014-01-23,935.50830078125,945.5800345758865,929.2161035267761,942.0082640487838,2290762
2014-01-24,933.9505615234375,948.3002027402987,928.26057292218,931.9985349607928,1850266
2014-01-27,927.6680297851562,940.108459585618,923.7153719555199,926.1701398705844,2532948
2014-01-28,920.4907836914062,935.2612410686827,913.7296588356107,928.6665032698852,2852166
2014-01-29,919.4302368164062,931.9955131510347,917.4330832580498,931.9955131510347,1698076
2014-01-30,922.6757202148438,926.5867326981743,911.1921619259101,914.541541558471,2225250
2014-01-31,932.43212890625,944.3941213303249,924.0899190911417,925.795843859908,2174246
2014-02-03,913.0431518554688,933.7634209690597,911.5245397139057,924.505880090565,1362480
2014-02-04,895.1109619140625,904.950962785678,878.7594138568046,904.5348933775007,2694166
2014-02-05,913.0225830078125,915.3526121067678,890.3884499584013,900.2909212598072,1853650
2014-02-06,905.0549926757812,911.1503689582424,892.4688929040574,907.0313223920024,1922652
2014-02-07,892.2190551757812,913.2722044849742,886.6437666321093,911.1918577777191,1990912
2014-02-10,871.0619506835938,892.0526276938061,867.5461852233533,892.0526276938061,4019270
2014-02-11,874.4527587890625,884.7712969342269,872.081184281279,873.7454613505181,3568786
2014-02-12,876.0130615234375,883.5647800432847,871.6651577826008,881.2347514002618,3074348
2014-02-13,887.7880859375,889.7227680237585,872.2895007231253,876.6582294412713,2094350
2014-02-14,901.9967041015625,909.0075132875842,885.437225219166,889.5146235895462,1910062
2014-02-17,900.95654296875,909.5276123352468,893.3841010044437,898.7098090778285,1670394
2014-02-18,901.2061157226562,911.6078483602677,896.983052903554,900.7900464171518,1526916
2014-02-19,914.4993896484375,921.5933906917656,899.6457377080227,902.8702744023167,1072918
2014-02-20,910.9214477539062,924.506071037241,908.1961732682213,917.8489616148306,1587924
